,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position
2972,New College of Florida Baccalaureate FLORIDA,$0,,3,-,,1606
442,New Jersey Institute of Technology Doctoral NEW JERSEY,"$187,700",1.8%,140,"$266,400",92.3,1591
1389,New Jersey Institute of Technology Doctoral NEW JERSEY,"$134,100",1.7%,91,"$192,500",100.0,1596
2338,New Jersey Institute of Technology Doctoral NEW JERSEY,"$102,500",2.1%,74,"$147,300",95.5,1601
3287,New Jersey Institute of Technology Doctoral NEW JERSEY,$0,,0,-,,1606
481,New York Institute of Technology Master NEW YORK,"$133,100",3.8%,57,"$168,400",92.2,1591
1428,New York Institute of Technology Master NEW YORK,"$99,800",3.0%,100,"$134,600",91.3,1596
2377,New York Institute of Technology Master NEW YORK,"$91,400",2.7%,71,"$116,800",93.9,1601
3326,New York Institute of Technology Master NEW YORK,$0,1.9%,0,-,,1606
483,New York University Doctoral NEW YORK,"$214,500",2.7%,865,"$302,500",88.9,1591
1430,New York University Doctoral NEW YORK,"$124,900",2.9%,514,"$177,600",96.2,1596
2379,New York University Doctoral NEW YORK,"$115,200",4.1%,308,"$161,300",88.0,1601
3328,New York University Doctoral NEW YORK,$0,,0,-,,1606
724,Newberry College Baccalaureate SOUTH CAROLINA,"$61,900",0.8%,17,"$84,000",133.2,1591
1673,Newberry College Baccalaureate SOUTH CAROLINA,"$52,600",0.0%,20,"$63,200",91.1,1596
2622,Newberry College Baccalaureate SOUTH CAROLINA,"$49,100",2.8%,28,"$59,100",106.5,1601
3571,Newberry College Baccalaureate SOUTH CAROLINA,$0,,0,-,,1606
484,Niagara County Community College Associate with Ranks NEW YORK,"$91,700",0.7%,54,"$134,000",95.3,1591
1431,Niagara County Community College Associate with Ranks NEW YORK,"$75,800",1.1%,10,"$113,900",97.2,1596
2380,Niagara County Community College Associate with Ranks NEW YORK,"$64,200",1.4%,16,"$97,200",95.3,1601
3329,Niagara County Community College Associate with Ranks NEW YORK,"$50,000",7.3%,22,"$76,700",98.4,1606
546,North Carolina A & T State University Master NORTH CAROLINA,"$101,000",1.9%,106,"$139,300",103.7,1591
1493,North Carolina A & T State University Master NORTH CAROLINA,"$84,300",3.6%,179,"$110,400",98.2,1596
2442,North Carolina A & T State University Master NORTH CAROLINA,"$72,500",2.8%,87,"$94,800",94.6,1601
3391,North Carolina A & T State University Master NORTH CAROLINA,$0,1.4%,3,-,,1606
547,North Carolina Central University Master NORTH CAROLINA,"$97,900",1.6%,72,"$136,900",93.0,1591
1494,North Carolina Central University Master NORTH CAROLINA,"$80,600",2.1%,116,"$109,800",97.4,1596
2443,North Carolina Central University Master NORTH CAROLINA,"$68,100",1.7%,88,"$89,900",101.1,1601
3392,North Carolina Central University Master NORTH CAROLINA,"$60,100",1.6%,6,"$97,600",103.7,1606
548,North Carolina State University at Raleigh Doctoral NORTH CAROLINA,"$129,600",1.6%,662,"$177,700",96.0,1591
1495,North Carolina State University at Raleigh Doctoral NORTH CAROLINA,"$93,100",3.0%,484,"$126,400",94.0,1596
2444,North Carolina State University at Raleigh Doctoral NORTH CAROLINA,"$81,300",2.9%,390,"$110,000",90.8,1601
3393,North Carolina State University at Raleigh Doctoral NORTH CAROLINA,$0,1.8%,1,-,,1606
545,North Carolina Wesleyan College Baccalaureate NORTH CAROLINA,"$58,900",2.2%,12,"$74,800",103.1,1591
1492,North Carolina Wesleyan College Baccalaureate NORTH CAROLINA,"$58,700",2.2%,22,"$77,200",99.7,1596
2441,North Carolina Wesleyan College Baccalaureate NORTH CAROLINA,"$48,100",2.8%,18,"$62,700",101.8,1601
3390,North Carolina Wesleyan College Baccalaureate NORTH CAROLINA,"$52,600",2.0%,7,"$70,500",92.7,1606
179,North Central College Master ILLINOIS,"$96,500",2.1%,50,"$124,500",91.5,1591
1126,North Central College Master ILLINOIS,"$76,900",2.2%,43,"$101,200",101.1,1596
2075,North Central College Master ILLINOIS,"$65,800",1.8%,63,"$83,800",96.1,1601
3024,North Central College Master ILLINOIS,$0,2.2%,3,-,116.3,1606
561,North Dakota State University-Main Campus Doctoral NORTH DAKOTA,"$108,100",0.5%,170,"$167,900",91.0,1591
1508,North Dakota State University-Main Campus Doctoral NORTH DAKOTA,"$85,000",0.6%,210,"$123,700",96.4,1596
2457,North Dakota State University-Main Campus Doctoral NORTH DAKOTA,"$71,000",0.5%,214,"$104,000",94.4,1601
3406,North Dakota State University-Main Campus Doctoral NORTH DAKOTA,$0,0.0%,3,-,166.2,1606
3799,North Iowa Area Community College Associate without Ranks. IOWA,"$65,800",,67,"$95,500",99.5,1611
335,Northeastern University Doctoral MASSACHUSETTS,"$179,900",2.4%,338,"$224,300",93.5,1591
1282,Northeastern University Doctoral MASSACHUSETTS,"$124,100",4.0%,253,"$159,600",99.4,1596
2231,Northeastern University Doctoral MASSACHUSETTS,"$112,300",4.1%,181,"$139,500",94.1,1601
3180,Northeastern University Doctoral MASSACHUSETTS,"$80,500",4.4%,446,"$102,800",88.2,1606
19,Northern Arizona University Doctoral ARIZONA,"$107,200",3.0%,300,"$140,100",90.9,1591
966,Northern Arizona University Doctoral ARIZONA,"$78,800",3.8%,218,"$108,000",92.1,1596
1915,Northern Arizona University Doctoral ARIZONA,"$64,800",3.9%,336,"$88,200",92.8,1601
2864,Northern Arizona University Doctoral ARIZONA,"$48,500",4.6%,278,"$66,300",95.9,1606
180,Northern Illinois University Doctoral ILLINOIS,"$100,300",0.4%,215,"$137,300",90.9,1591
1127,Northern Illinois University Doctoral ILLINOIS,"$77,400",0.1%,260,"$108,100",104.3,1596
2076,Northern Illinois University Doctoral ILLINOIS,"$72,200",0.4%,185,"$101,500",96.8,1601
3025,Northern Illinois University Doctoral ILLINOIS,"$43,100",1.2%,159,"$66,800",91.5,1606
266,Northern Kentucky University Master KENTUCKY,"$98,900",2.4%,121,"$129,900",94.7,1591
1213,Northern Kentucky University Master KENTUCKY,"$73,700",5.3%,149,"$97,200",96.2,1596
2162,Northern Kentucky University Master KENTUCKY,"$68,900",5.3%,99,"$90,300",88.3,1601
3111,Northern Kentucky University Master KENTUCKY,$0,,0,-,,1606
363,Northern Michigan University Master MICHIGAN,"$91,700",2.0%,97,"$129,500",98.8,1591
1310,Northern Michigan University Master MICHIGAN,"$77,200",4.0%,72,"$110,000",93.8,1596
2259,Northern Michigan University Master MICHIGAN,"$66,700",4.8%,67,"$96,100",90.5,1601
3208,Northern Michigan University Master MICHIGAN,"$51,900",8.3%,25,"$83,800",95.3,1606
823,Northwest University Baccalaureate WASHINGTON,"$72,800",5.1%,14,"$94,700",96.4,1591
1772,Northwest University Baccalaureate WASHINGTON,"$60,100",5.4%,15,"$78,300",100.5,1596
2721,Northwest University Baccalaureate WASHINGTON,"$54,300",5.0%,30,"$72,100",97.1,1601
3670,Northwest University Baccalaureate WASHINGTON,"$52,400",4.3%,4,"$67,600",74.5,1606
3794,Northwest-Shoals Community College Associate without Ranks. ALABAMA,"$54,300",,80,-,95.1,1611
241,Northwestern College Baccalaureate IOWA,"$68,100",3.9%,30,-,97.7,1591
1188,Northwestern College Baccalaureate IOWA,"$58,800",4.0%,20,-,99.8,1596
2137,Northwestern College Baccalaureate IOWA,"$50,600",4.8%,19,-,104.3,1601
3086,Northwestern College Baccalaureate IOWA,"$48,600",5.7%,14,-,101.9,1606
181,Northwestern University Doctoral ILLINOIS,"$211,200",4.0%,635,"$266,600",90.2,1591
1128,Northwestern University Doctoral ILLINOIS,"$135,400",7.7%,305,"$177,500",89.7,1596
2077,Northwestern University Doctoral ILLINOIS,"$116,700",5.6%,232,"$153,900",90.3,1601
3026,Northwestern University Doctoral ILLINOIS,$0,,0,-,,1606
364,Oakland University Doctoral MICHIGAN,"$111,400",3.8%,122,"$153,000",84.9,1591
1311,Oakland University Doctoral MICHIGAN,"$82,300",3.3%,232,"$117,500",95.4,1596
2260,Oakland University Doctoral MICHIGAN,"$71,800",2.5%,137,"$100,800",93.4,1601
3209,Oakland University Doctoral MICHIGAN,"$64,900",2.1%,98,"$89,000",98.5,1606
589,Oberlin College Baccalaureate OHIO,"$127,700",0.3%,115,"$177,100",95.2,1591
1536,Oberlin College Baccalaureate OHIO,"$95,300",0.1%,92,"$127,300",92.0,1596
2485,Oberlin College Baccalaureate OHIO,"$71,600",1.4%,87,"$90,700",93.0,1601
3434,Oberlin College Baccalaureate OHIO,"$50,900",1.0%,8,"$64,000",152.6,1606
58,Occidental College Baccalaureate CALIFORNIA,"$133,500",2.2%,71,"$168,700",92.7,1591
1005,Occidental College Baccalaureate CALIFORNIA,"$94,000",4.0%,48,"$123,000",100.0,1596
1954,Occidental College Baccalaureate CALIFORNIA,"$78,600",4.6%,28,"$101,700",97.3,1601
2903,Occidental College Baccalaureate CALIFORNIA,"$64,500",2.8%,41,"$83,300",93.6,1606
590,Ohio Northern University Baccalaureate OHIO,"$98,400",,57,"$125,900",109.3,1591
1537,Ohio Northern University Baccalaureate OHIO,"$75,600",,71,"$99,600",101.2,1596
2486,Ohio Northern University Baccalaureate OHIO,"$70,300",,85,"$93,400",100.3,1601
3435,Ohio Northern University Baccalaureate OHIO,"$50,200",,10,"$69,500",84.8,1606
1538,Ohio State University Agricultural Technical Institute Baccalaureate OHIO,"$74,400",2.1%,12,"$122,400",105.2,1596
2487,Ohio State University Agricultural Technical Institute Baccalaureate OHIO,"$76,800",3.9%,10,"$103,300",94.3,1601
3436,Ohio State University Agricultural Technical Institute Baccalaureate OHIO,$0,,0,-,,1606
591,Ohio State University-Lima Campus Baccalaureate OHIO,"$106,200",2.0%,11,"$138,400",66.1,1591
1539,Ohio State University-Lima Campus Baccalaureate OHIO,"$73,600",3.1%,17,"$98,400",98.8,1596
2488,Ohio State University-Lima Campus Baccalaureate OHIO,"$63,100",2.9%,4,"$84,800",101.4,1601
3437,Ohio State University-Lima Campus Baccalaureate OHIO,$0,,0,-,,1606
592,Ohio State University-Main Campus Doctoral OHIO,"$150,000",2.7%,994,"$195,700",89.6,1591
1540,Ohio State University-Main Campus Doctoral OHIO,"$101,300",3.9%,718,"$137,700",92.9,1596
2489,Ohio State University-Main Campus Doctoral OHIO,"$89,400",3.2%,621,"$125,400",90.9,1601
3438,Ohio State University-Main Campus Doctoral OHIO,"$124,000",3.0%,10,"$176,200",62.0,1606
593,Ohio State University-Mansfield Campus Baccalaureate OHIO,"$94,500",6.3%,6,"$121,100",,1591
1541,Ohio State University-Mansfield Campus Baccalaureate OHIO,"$73,700",2.0%,25,"$98,900",96.8,1596
2490,Ohio State University-Mansfield Campus Baccalaureate OHIO,"$62,200",2.9%,6,"$83,800",97.7,1601
3439,Ohio State University-Mansfield Campus Baccalaureate OHIO,$0,,0,-,,1606
594,Ohio State University-Marion Campus Baccalaureate OHIO,"$106,700",4.2%,4,"$137,800",109.7,1591
1542,Ohio State University-Marion Campus Baccalaureate OHIO,"$78,100",1.9%,18,"$103,000",97.3,1596
2491,Ohio State University-Marion Campus Baccalaureate OHIO,"$71,500",3.2%,14,"$94,800",95.8,1601
3440,Ohio State University-Marion Campus Baccalaureate OHIO,$0,,0,-,,1606
595,Ohio State University-Newark Campus Baccalaureate OHIO,"$100,300",4.4%,8,"$127,900",105.9,1591
1543,Ohio State University-Newark Campus Baccalaureate OHIO,"$86,600",4.5%,28,"$112,100",96.0,1596
2492,Ohio State University-Newark Campus Baccalaureate OHIO,"$76,800",5.0%,11,"$101,000",98.7,1601
3441,Ohio State University-Newark Campus Baccalaureate OHIO,$0,,0,-,,1606
596,Ohio University-Chillicothe Campus Associate with Ranks OHIO,$0,0.0%,2,-,,1591
1544,Ohio University-Chillicothe Campus Associate with Ranks OHIO,"$78,700",0.8%,14,"$108,900",104.5,1596
2493,Ohio University-Chillicothe Campus Associate with Ranks OHIO,"$63,000",0.0%,6,"$90,800",110.0,1601
3442,Ohio University-Chillicothe Campus Associate with Ranks OHIO,$0,,0,-,,1606
597,Ohio University-Eastern Campus Associate with Ranks OHIO,$0,,0,-,,1591
1545,Ohio University-Eastern Campus Associate with Ranks OHIO,"$77,100",0.0%,11,"$107,000",106.7,1596
2494,Ohio University-Eastern Campus Associate with Ranks OHIO,$0,0.0%,3,-,84.6,1601
3443,Ohio University-Eastern Campus Associate with Ranks OHIO,$0,,0,-,,1606
598,Ohio University-Lancaster Campus Associate with Ranks OHIO,$0,0.0%,3,-,107.2,1591
1546,Ohio University-Lancaster Campus Associate with Ranks OHIO,"$75,400",0.0%,18,"$105,000",104.4,1596
2495,Ohio University-Lancaster Campus Associate with Ranks OHIO,$0,2.5%,3,-,,1601
3444,Ohio University-Lancaster Campus Associate with Ranks OHIO,$0,,0,-,,1606
599,Ohio University-Main Campus Doctoral OHIO,"$112,700",0.0%,233,"$147,900",89.3,1591
1547,Ohio University-Main Campus Doctoral OHIO,"$86,800",0.7%,275,"$118,100",95.8,1596
2496,Ohio University-Main Campus Doctoral OHIO,"$78,700",0.4%,192,"$108,800",97.1,1601
3445,Ohio University-Main Campus Doctoral OHIO,$0,,0,-,,1606
600,Ohio University-Southern Campus Associate with Ranks OHIO,$0,,1,-,,1591
1548,Ohio University-Southern Campus Associate with Ranks OHIO,"$75,700",0.0%,13,"$105,400",94.1,1596
2497,Ohio University-Southern Campus Associate with Ranks OHIO,"$59,500",2.0%,5,"$86,900",103.7,1601
3446,Ohio University-Southern Campus Associate with Ranks OHIO,$0,,0,-,,1606
601,Ohio University-Zanesville Campus Associate with Ranks OHIO,"$91,200",0.0%,5,"$123,200",105.8,1591
1549,Ohio University-Zanesville Campus Associate with Ranks OHIO,"$73,600",0.0%,18,"$103,000",101.3,1596
2498,Ohio University-Zanesville Campus Associate with Ranks OHIO,"$59,800",0.0%,7,"$87,100",98.4,1601
3447,Ohio University-Zanesville Campus Associate with Ranks OHIO,$0,,0,-,,1606
836,Ohio Valley University Baccalaureate WEST VIRGINIA,"$47,800",0.0%,6,"$61,400",76.3,1591
1785,Ohio Valley University Baccalaureate WEST VIRGINIA,"$45,600",2.1%,5,"$54,400",102.5,1596
2734,Ohio Valley University Baccalaureate WEST VIRGINIA,"$43,900",0.0%,9,"$55,200",84.2,1601
3683,Ohio Valley University Baccalaureate WEST VIRGINIA,$0,0.0%,2,-,,1606
602,Ohio Wesleyan University Baccalaureate OHIO,"$94,500",2.6%,64,"$131,000",99.3,1591
1550,Ohio Wesleyan University Baccalaureate OHIO,"$69,500",3.1%,42,"$96,000",99.8,1596
2499,Ohio Wesleyan University Baccalaureate OHIO,"$59,500",3.8%,23,"$79,800",98.0,1601
3448,Ohio Wesleyan University Baccalaureate OHIO,"$57,900",4.8%,8,"$80,500",94.8,1606
619,Oklahoma Panhandle State University Baccalaureate OKLAHOMA,"$52,800",7.3%,10,-,110.9,1591
1567,Oklahoma Panhandle State University Baccalaureate OKLAHOMA,"$48,800",,7,-,104.5,1596
2516,Oklahoma Panhandle State University Baccalaureate OKLAHOMA,"$47,200",,19,-,99.4,1601
3465,Oklahoma Panhandle State University Baccalaureate OKLAHOMA,"$39,700",,16,-,104.5,1606
3802,Oklahoma State University Institute of Technology Associate without Ranks. OKLAHOMA,"$44,900",,117,"$65,600",104.7,1611
620,Oklahoma State University-Main Campus Doctoral OKLAHOMA,"$108,600",0.1%,303,"$160,600",87.2,1591
1568,Oklahoma State University-Main Campus Doctoral OKLAHOMA,"$82,700",1.3%,268,"$116,400",88.9,1596
2517,Oklahoma State University-Main Campus Doctoral OKLAHOMA,"$78,200",1.3%,287,"$106,000",92.3,1601
3466,Oklahoma State University-Main Campus Doctoral OKLAHOMA,$0,,3,-,98.7,1606
621,Oklahoma State University-Oklahoma City Associate with Ranks OKLAHOMA,"$61,200",,8,"$84,500",93.3,1591
1569,Oklahoma State University-Oklahoma City Associate with Ranks OKLAHOMA,"$51,900",3.6%,21,"$84,100",95.8,1596
2518,Oklahoma State University-Oklahoma City Associate with Ranks OKLAHOMA,"$45,900",1.2%,24,"$68,200",95.9,1601
3467,Oklahoma State University-Oklahoma City Associate with Ranks OKLAHOMA,"$45,100",13.0%,23,"$63,900",111.2,1606
807,Old Dominion University Doctoral VIRGINIA,"$117,600",2.4%,218,"$170,000",87.6,1591
1756,Old Dominion University Doctoral VIRGINIA,"$85,200",3.7%,220,"$119,500",95.8,1596
2705,Old Dominion University Doctoral VIRGINIA,"$74,700",2.3%,163,"$101,600",89.3,1601
3654,Old Dominion University Doctoral VIRGINIA,"$60,000",2.0%,4,"$81,200",144.8,1606
629,Oregon State University Doctoral OREGON,"$123,700",3.3%,335,"$208,600",94.1,1591
1577,Oregon State University Doctoral OREGON,"$94,300",4.6%,259,"$147,700",94.8,1596
2526,Oregon State University Doctoral OREGON,"$83,600",4.5%,292,"$124,200",93.1,1601
3475,Oregon State University Doctoral OREGON,"$53,400",4.5%,348,"$94,100",92.8,1606
251,Ottawa University-Ottawa Baccalaureate KANSAS,"$69,000",4.7%,9,"$88,100",102.7,1591
1198,Ottawa University-Ottawa Baccalaureate KANSAS,"$54,300",2.9%,14,"$79,800",112.4,1596
2147,Ottawa University-Ottawa Baccalaureate KANSAS,"$52,500",9.8%,7,"$74,000",118.2,1601
3096,Ottawa University-Ottawa Baccalaureate KANSAS,$0,0.0%,2,-,106.7,1606
26,Ouachita Baptist University Baccalaureate ARKANSAS,"$63,800",2.6%,39,"$83,800",92.5,1591
973,Ouachita Baptist University Baccalaureate ARKANSAS,"$57,000",3.8%,23,"$78,200",85.2,1596
1922,Ouachita Baptist University Baccalaureate ARKANSAS,"$49,800",3.4%,22,"$68,500",89.7,1601
2871,Ouachita Baptist University Baccalaureate ARKANSAS,"$41,300",3.0%,4,"$54,200",99.5,1606
755,Our Lady of the Lake University Master TEXAS,"$85,300",2.6%,26,-,101.7,1591
1704,Our Lady of the Lake University Master TEXAS,"$70,900",2.9%,20,-,101.6,1596
2653,Our Lady of the Lake University Master TEXAS,"$64,800",2.8%,50,-,94.4,1601
3602,Our Lady of the Lake University Master TEXAS,$0,0.9%,2,-,,1606
903,Pace University-New York Master NEW YORK,"$142,500",6.4%,198,"$182,900",93.6,1591
1852,Pace University-New York Master NEW YORK,"$106,700",5.1%,113,"$138,300",98.8,1596
2801,Pace University-New York Master NEW YORK,"$85,200",4.7%,147,"$109,900",104.3,1601
3750,Pace University-New York Master NEW YORK,$0,,0,-,,1606
824,Pacific Lutheran University Master WASHINGTON,"$79,000",0.5%,44,"$100,900",100.2,1591
1773,Pacific Lutheran University Master WASHINGTON,"$64,400",0.3%,78,"$84,100",100.0,1596
2722,Pacific Lutheran University Master WASHINGTON,"$67,200",2.8%,51,"$86,400",96.3,1601
3671,Pacific Lutheran University Master WASHINGTON,"$50,900",2.9%,18,"$67,500",108.1,1606
128,Palm Beach Atlantic University Baccalaureate FLORIDA,"$73,500",,53,-,97.6,1591
1075,Palm Beach Atlantic University Baccalaureate FLORIDA,"$76,300",,56,-,92.5,1596
2024,Palm Beach Atlantic University Baccalaureate FLORIDA,"$60,300",,57,-,109.5,1601
2973,Palm Beach Atlantic University Baccalaureate FLORIDA,"$54,900",,5,-,,1606
681,Pennsylvania State University-Main Campus Doctoral PENNSYLVANIA,"$157,000",2.3%,870,"$200,300",92.8,1591
1629,Pennsylvania State University-Main Campus Doctoral PENNSYLVANIA,"$107,300",2.9%,550,"$139,600",92.5,1596
2578,Pennsylvania State University-Main Campus Doctoral PENNSYLVANIA,"$90,400",3.1%,511,"$118,900",90.2,1601
3527,Pennsylvania State University-Main Campus Doctoral PENNSYLVANIA,"$62,600",3.1%,263,"$103,500",84.5,1606
913,Pennsylvania State University-Penn State Abington Baccalaureate PENNSYLVANIA,"$110,700",2.5%,140,"$144,300",101.0,1591
1862,Pennsylvania State University-Penn State Abington Baccalaureate PENNSYLVANIA,"$86,900",2.3%,334,"$116,100",96.0,1596
2811,Pennsylvania State University-Penn State Abington Baccalaureate PENNSYLVANIA,"$72,200",2.8%,352,"$99,000",89.1,1601
3760,Pennsylvania State University-Penn State Abington Baccalaureate PENNSYLVANIA,"$60,300",2.5%,216,"$89,200",94.2,1606
912,Pennsylvania State University-Penn State Harrisburg Master PENNSYLVANIA,"$124,200",1.8%,29,"$157,900",90.2,1591
1861,Pennsylvania State University-Penn State Harrisburg Master PENNSYLVANIA,"$108,500",2.2%,74,"$140,200",88.2,1596
2810,Pennsylvania State University-Penn State Harrisburg Master PENNSYLVANIA,"$87,300",2.8%,68,"$116,900",100.7,1601
3759,Pennsylvania State University-Penn State Harrisburg Master PENNSYLVANIA,"$63,700",1.9%,27,"$90,300",92.1,1606
59,Pepperdine University Master CALIFORNIA,"$143,100",2.0%,128,"$182,800",93.5,1591
1006,Pepperdine University Master CALIFORNIA,"$116,700",3.2%,91,"$152,300",83.7,1596
1955,Pepperdine University Master CALIFORNIA,"$89,100",7.4%,87,"$115,900",84.0,1601
2904,Pepperdine University Master CALIFORNIA,"$59,700",4.7%,26,"$80,300",96.1,1606
682,Philadelphia University Master PENNSYLVANIA,"$102,100",0.5%,22,"$147,800",88.1,1591
1630,Philadelphia University Master PENNSYLVANIA,"$79,900",1.9%,51,"$121,600",96.3,1596
2579,Philadelphia University Master PENNSYLVANIA,"$67,900",1.6%,48,"$110,500",100.4,1601
3528,Philadelphia University Master PENNSYLVANIA,$0,4.2%,2,-,,1606
252,Pittsburg State University Master KANSAS,"$82,900",0.3%,106,"$110,600",94.5,1591
1199,Pittsburg State University Master KANSAS,"$66,200",0.3%,80,"$89,000",93.7,1596
2148,Pittsburg State University Master KANSAS,"$57,200",0.0%,82,"$74,700",98.4,1601
3097,Pittsburg State University Master KANSAS,"$48,500",0.0%,57,"$63,100",101.5,1606
683,Pittsburgh Theological Seminary Master PENNSYLVANIA,"$103,300",,7,"$135,800",98.8,1591
1631,Pittsburgh Theological Seminary Master PENNSYLVANIA,"$85,600",,4,"$115,600",95.0,1596
2580,Pittsburgh Theological Seminary Master PENNSYLVANIA,$0,,3,-,,1601
3529,Pittsburgh Theological Seminary Master PENNSYLVANIA,$0,,0,-,,1606
60,Pitzer College Baccalaureate CALIFORNIA,"$134,000",3.8%,37,"$181,100",91.8,1591
1007,Pitzer College Baccalaureate CALIFORNIA,"$98,700",7.8%,20,"$142,500",99.4,1596
1956,Pitzer College Baccalaureate CALIFORNIA,"$82,200",5.4%,16,"$116,600",91.0,1601
2905,Pitzer College Baccalaureate CALIFORNIA,$0,,0,-,,1606
429,Plymouth State University Master NEW HAMPSHIRE,"$93,000",2.4%,73,"$119,300",97.5,1591
1376,Plymouth State University Master NEW HAMPSHIRE,"$77,100",4.5%,44,"$100,600",99.1,1596
2325,Plymouth State University Master NEW HAMPSHIRE,"$67,700",5.5%,39,"$88,600",98.3,1601
3274,Plymouth State University Master NEW HAMPSHIRE,$0,,2,-,103.5,1606
61,Point Loma Nazarene University Baccalaureate CALIFORNIA,"$102,600",-0.3%,78,"$129,700",98.2,1591
1008,Point Loma Nazarene University Baccalaureate CALIFORNIA,"$82,900",1.2%,48,"$102,700",100.8,1596
1957,Point Loma Nazarene University Baccalaureate CALIFORNIA,"$67,900",3.3%,17,"$82,200",99.4,1601
2906,Point Loma Nazarene University Baccalaureate CALIFORNIA,$0,,0,-,,1606
62,Pomona College Baccalaureate CALIFORNIA,"$156,500",3.0%,86,"$198,100",93.4,1591
1009,Pomona College Baccalaureate CALIFORNIA,"$114,100",6.1%,66,"$150,100",102.3,1596
1958,Pomona College Baccalaureate CALIFORNIA,"$93,300",7.9%,33,"$121,800",105.3,1601
2907,Pomona College Baccalaureate CALIFORNIA,$0,5.2%,1,-,,1606
910,Portland State University Doctoral OREGON,"$106,500",2.4%,193,"$170,800",95.4,1591
1859,Portland State University Doctoral OREGON,"$83,500",3.6%,170,"$127,200",96.0,1596
2808,Portland State University Doctoral OREGON,"$71,600",2.5%,240,"$102,900",92.7,1601
3757,Portland State University Doctoral OREGON,"$56,600",3.5%,147,"$87,600",95.9,1606
756,Prairie View A & M University Master TEXAS,"$104,200",,67,"$133,100",91.8,1591
1705,Prairie View A & M University Master TEXAS,"$81,300",,64,"$101,900",107.1,1596
2654,Prairie View A & M University Master TEXAS,"$68,400",,53,"$85,900",96.5,1601
3603,Prairie View A & M University Master TEXAS,$0,,1,-,,1606
873,Prince William Sound Community College Associate with Ranks ALASKA,$0,,0,-,,1591
1822,Prince William Sound Community College Associate with Ranks ALASKA,"$71,300",2.0%,4,"$131,700",,1596
2771,Prince William Sound Community College Associate with Ranks ALASKA,"$61,500",2.0%,6,"$121,900",87.2,1601
3720,Prince William Sound Community College Associate with Ranks ALASKA,$0,1.0%,0,-,,1606
443,Princeton University Doctoral NEW JERSEY,"$238,000",3.7%,487,"$307,400",91.3,1591
1390,Princeton University Doctoral NEW JERSEY,"$143,800",8.6%,95,"$185,800",97.1,1596
2339,Princeton University Doctoral NEW JERSEY,"$115,200",6.8%,195,"$148,800",87.1,1601
3288,Princeton University Doctoral NEW JERSEY,"$97,800",5.5%,22,"$126,300",98.7,1606
713,Providence College Master RHODE ISLAND,"$118,900",3.9%,60,"$156,800",96.6,1591
1661,Providence College Master RHODE ISLAND,"$91,500",4.0%,98,"$124,000",95.6,1596
2610,Providence College Master RHODE ISLAND,"$85,400",4.2%,114,"$110,800",94.8,1601
3559,Providence College Master RHODE ISLAND,"$73,700",3.0%,15,"$89,300",95.9,1606
215,Purdue University-Calumet Campus Master INDIANA,"$100,100",0.0%,84,"$136,500",97.2,1591
1162,Purdue University-Calumet Campus Master INDIANA,"$77,400",0.4%,119,"$104,200",99.2,1596
2111,Purdue University-Calumet Campus Master INDIANA,"$68,200",1.4%,97,"$92,600",92.3,1601
3060,Purdue University-Calumet Campus Master INDIANA,"$47,600",4.0%,21,"$64,300",63.9,1606
216,Purdue University-Main Campus Doctoral INDIANA,"$142,400",2.8%,883,"$185,700",94.0,1591
1163,Purdue University-Main Campus Doctoral INDIANA,"$101,200",3.5%,537,"$135,300",94.1,1596
2112,Purdue University-Main Campus Doctoral INDIANA,"$89,700",3.7%,596,"$119,400",93.3,1601
3061,Purdue University-Main Campus Doctoral INDIANA,"$73,600",5.9%,10,"$97,800",112.8,1606
920,Quinnipiac University Master CONNECTICUT,"$133,300",1.8%,113,"$183,900",90.5,1591
1869,Quinnipiac University Master CONNECTICUT,"$96,400",2.3%,114,"$139,600",89.1,1596
2818,Quinnipiac University Master CONNECTICUT,"$88,900",2.7%,135,"$121,500",94.1,1601
3767,Quinnipiac University Master CONNECTICUT,"$74,700",4.2%,14,"$99,500",94.7,1606
808,Radford University Master VIRGINIA,"$90,800",2.9%,154,"$124,700",93.1,1591
1757,Radford University Master VIRGINIA,"$72,800",4.3%,126,"$103,900",93.7,1596
2706,Radford University Master VIRGINIA,"$66,500",4.8%,111,"$93,100",97.8,1601
3655,Radford University Master VIRGINIA,"$54,700",3.9%,69,"$79,600",112.4,1606
444,Ramapo College of New Jersey Baccalaureate NEW JERSEY,"$125,400",5.2%,68,"$188,900",98.9,1591
1391,Ramapo College of New Jersey Baccalaureate NEW JERSEY,"$99,400",7.7%,91,"$149,800",98.5,1596
2340,Ramapo College of New Jersey Baccalaureate NEW JERSEY,"$83,200",5.6%,56,"$125,400",105.1,1601
3289,Ramapo College of New Jersey Baccalaureate NEW JERSEY,$0,1.7%,1,-,,1606
809,Randolph College Baccalaureate VIRGINIA,"$84,500",4.4%,32,"$107,700",95.5,1591
1758,Randolph College Baccalaureate VIRGINIA,"$70,500",4.6%,19,"$92,500",94.0,1596
2707,Randolph College Baccalaureate VIRGINIA,"$61,100",6.3%,17,"$79,700",103.3,1601
3656,Randolph College Baccalaureate VIRGINIA,$0,3.0%,3,-,97.5,1606
810,Randolph-Macon College Baccalaureate VIRGINIA,"$88,200",1.5%,41,"$113,200",91.3,1591
