,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position
2630,Austin Peay State University Master TENNESSEE,"$56,500",7.1%,84,"$78,400",101.4,1601
3579,Austin Peay State University Master TENNESSEE,"$45,800",4.1%,43,"$62,800",106.6,1606
792,Averett University Master VIRGINIA,"$65,400",0.1%,23,"$89,100",95.6,1591
1741,Averett University Master VIRGINIA,"$59,000",0.0%,17,"$79,100",102.1,1596
2690,Averett University Master VIRGINIA,"$52,000",1.3%,21,"$68,900",101.5,1601
3639,Averett University Master VIRGINIA,"$38,600",0.0%,5,"$50,100",71.5,1606
30,Azusa Pacific University Doctoral CALIFORNIA,"$108,200",2.5%,138,"$132,400",102.0,1591
977,Azusa Pacific University Doctoral CALIFORNIA,"$91,600",3.4%,119,"$112,300",105.2,1596
1926,Azusa Pacific University Doctoral CALIFORNIA,"$85,900",5.1%,202,"$102,600",103.8,1601
2875,Azusa Pacific University Doctoral CALIFORNIA,"$81,300",5.0%,24,"$94,500",93.6,1606
314,Babson College Baccalaureate MASSACHUSETTS,"$190,000",5.0%,59,"$229,100",88.3,1591
1261,Babson College Baccalaureate MASSACHUSETTS,"$144,800",,53,"$178,800",83.4,1596
2210,Babson College Baccalaureate MASSACHUSETTS,"$134,500",,34,"$162,600",109.6,1601
3159,Babson College Baccalaureate MASSACHUSETTS,$0,,0,-,,1606
246,Baker University Baccalaureate KANSAS,"$70,900",2.0%,22,"$87,800",91.2,1591
1193,Baker University Baccalaureate KANSAS,"$54,600",1.4%,21,"$68,400",99.8,1596
2142,Baker University Baccalaureate KANSAS,"$45,900",1.6%,21,"$54,700",82.5,1601
3091,Baker University Baccalaureate KANSAS,$0,9.3%,3,-,109.2,1606
565,Baldwin Wallace University Baccalaureate OHIO,"$84,400",-0.1%,82,"$111,700",98.9,1591
1512,Baldwin Wallace University Baccalaureate OHIO,"$73,000",1.5%,65,"$94,700",95.8,1596
2461,Baldwin Wallace University Baccalaureate OHIO,"$61,600",2.9%,77,"$78,600",102.6,1601
3410,Baldwin Wallace University Baccalaureate OHIO,"$48,600",1.8%,4,"$70,300",110.6,1606
195,Ball State University Doctoral INDIANA,"$96,200",0.5%,210,"$131,300",88.3,1591
1142,Ball State University Doctoral INDIANA,"$76,900",2.1%,227,"$103,800",91.6,1596
2091,Ball State University Doctoral INDIANA,"$63,500",2.1%,338,"$83,300",96.8,1601
3040,Ball State University Doctoral INDIANA,"$49,800",1.6%,247,"$62,400",96.0,1606
451,Barnard College Baccalaureate NEW YORK,"$168,700",3.2%,88,"$227,300",99.9,1591
1398,Barnard College Baccalaureate NEW YORK,"$118,700",7.7%,30,"$157,400",102.9,1596
2347,Barnard College Baccalaureate NEW YORK,"$89,600",5.5%,38,"$126,600",103.5,1601
3296,Barnard College Baccalaureate NEW YORK,"$78,200",6.2%,58,"$110,800",99.3,1606
905,Barton College Baccalaureate NORTH CAROLINA,"$58,200",0.0%,18,"$74,500",98.0,1591
1854,Barton College Baccalaureate NORTH CAROLINA,"$50,900",1.8%,19,"$64,400",113.4,1596
2803,Barton College Baccalaureate NORTH CAROLINA,"$56,200",1.9%,34,"$67,500",102.4,1601
3752,Barton College Baccalaureate NORTH CAROLINA,$0,3.6%,1,-,,1606
821,Bastyr University Master WASHINGTON,"$102,800",0.0%,6,-,99.3,1591
1770,Bastyr University Master WASHINGTON,"$81,400",0.0%,11,-,99.8,1596
2719,Bastyr University Master WASHINGTON,"$70,200",0.0%,5,-,98.1,1601
3668,Bastyr University Master WASHINGTON,$0,,0,-,,1606
282,Bates College Baccalaureate MAINE,"$134,500",3.6%,54,"$172,900",92.6,1591
1229,Bates College Baccalaureate MAINE,"$100,900",4.3%,48,"$131,700",95.8,1596
2178,Bates College Baccalaureate MAINE,"$82,900",6.3%,30,"$110,800",98.7,1601
3127,Bates College Baccalaureate MAINE,"$69,500",1.1%,19,"$90,800",99.0,1606
750,Baylor University Doctoral TEXAS,"$137,300",3.2%,296,"$175,000",90.2,1591
1699,Baylor University Doctoral TEXAS,"$99,900",3.5%,265,"$130,900",94.6,1596
2648,Baylor University Doctoral TEXAS,"$88,200",4.3%,194,"$112,700",91.2,1601
3597,Baylor University Doctoral TEXAS,$0,,3,-,,1606
257,Bellarmine University Master KENTUCKY,"$102,600",,40,"$137,400",92.0,1591
1204,Bellarmine University Master KENTUCKY,"$78,100",,52,"$108,300",100.1,1596
2153,Bellarmine University Master KENTUCKY,"$66,300",,57,"$95,200",105.5,1601
3102,Bellarmine University Master KENTUCKY,"$63,100",,19,"$99,700",93.3,1606
530,Belmont Abbey College Baccalaureate NORTH CAROLINA,"$64,100",0.0%,9,"$82,800",104.2,1591
1477,Belmont Abbey College Baccalaureate NORTH CAROLINA,"$55,000",,34,"$69,800",95.2,1596
2426,Belmont Abbey College Baccalaureate NORTH CAROLINA,"$54,200",0.0%,15,"$68,500",92.8,1601
3375,Belmont Abbey College Baccalaureate NORTH CAROLINA,$0,0.0%,2,-,92.9,1606
733,Belmont University Master TENNESSEE,"$121,400",4.7%,102,"$151,100",86.9,1591
1682,Belmont University Master TENNESSEE,"$97,300",5.6%,101,"$123,500",94.5,1596
2631,Belmont University Master TENNESSEE,"$82,300",5.3%,116,"$103,900",92.9,1601
3580,Belmont University Master TENNESSEE,"$75,200",4.8%,31,"$98,700",80.7,1606
839,Beloit College Baccalaureate WISCONSIN,"$87,800",0.0%,42,"$110,900",94.9,1591
