,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position,State,Category
812,Dominican University ,70300,2.2,44.0,94800.0,93.4,AP,ILLINOIS,Master
813,Dominican University ,65400,2.4,32.0,85200.0,93.8,aP,ILLINOIS,Master
814,Dominican University ,0,9.6,2.0,,89.5,I,ILLINOIS,Master
815,Dominican University of California ,110000,0.5,31.0,,98.1,P,CALIFORNIA,Master
816,Dominican University of California ,81500,0.4,17.0,,79.2,AP,CALIFORNIA,Master
817,Dominican University of California ,71600,0.4,56.0,,98.7,aP,CALIFORNIA,Master
818,Dominican University of California ,0,,0.0,,,I,CALIFORNIA,Master
819,Drake University ,113000,1.2,85.0,153700.0,87.8,P,IOWA,Master
820,Drake University ,85500,0.9,130.0,116800.0,97.8,AP,IOWA,Master
821,Drake University ,74600,0.6,82.0,102200.0,101.1,aP,IOWA,Master
822,Drake University ,0,1.3,2.0,,52.8,I,IOWA,Master
823,Drew University ,100600,1.9,53.0,130000.0,101.5,P,JERSEY,Master
824,Drew University ,77500,2.7,57.0,100800.0,99.3,AP,JERSEY,Master
825,Drew University ,63500,3.6,35.0,79100.0,99.0,aP,JERSEY,Master
826,Drew University ,0,3.7,3.0,,101.9,I,JERSEY,Master
827,Drexel University ,158200,0.4,226.0,202100.0,94.6,P,PENNSYLVANIA,Doctor
828,Drexel University ,115400,0.9,229.0,151400.0,95.3,AP,PENNSYLVANIA,Doctor
829,Drexel University ,97500,1.8,147.0,126800.0,92.6,aP,PENNSYLVANIA,Doctor
830,Drexel University ,74900,1.3,506.0,123100.0,89.8,I,PENNSYLVANIA,Doctor
831,Drury University ,72900,6.0,36.0,92700.0,100.7,P,MISSOURI,Baccalaureate
832,Drury University ,62900,5.8,38.0,80200.0,105.0,AP,MISSOURI,Baccalaureate
833,Drury University ,63500,3.5,14.0,80200.0,94.7,aP,MISSOURI,Baccalaureate
834,Drury University ,48700,2.1,19.0,65500.0,77.2,I,MISSOURI,Baccalaureate
835,Duke University ,209700,2.9,490.0,271900.0,94.2,P,CAROLINA,Doctor
836,Duke University ,138800,4.8,209.0,184100.0,89.5,AP,CAROLINA,Doctor
837,Duke University ,114100,5.6,141.0,144500.0,87.9,aP,CAROLINA,Doctor
838,Duke University ,0,,0.0,,,I,CAROLINA,Doctor
839,Duquesne University ,112700,2.2,95.0,149500.0,87.1,P,PENNSYLVANIA,Doctor
840,Duquesne University ,88700,2.3,178.0,124700.0,96.6,AP,PENNSYLVANIA,Doctor
841,Duquesne University ,76100,2.4,159.0,110600.0,90.9,aP,PENNSYLVANIA,Doctor
842,Duquesne University ,61100,2.6,30.0,94400.0,122.3,I,PENNSYLVANIA,Doctor
843,Earlham College ,85100,,40.0,114200.0,102.7,P,INDIANA,Baccalaureate
844,Earlham College ,71500,12.5,27.0,96200.0,96.6,AP,INDIANA,Baccalaureate
845,Earlham College ,58600,,42.0,79000.0,99.7,aP,INDIANA,Baccalaureate
846,Earlham College ,36000,,10.0,42900.0,124.0,I,INDIANA,Baccalaureate
847,East Carolina University ,106000,2.8,258.0,143900.0,96.4,P,CAROLINA,Doctor
848,East Carolina University ,80800,2.6,378.0,107900.0,96.1,AP,CAROLINA,Doctor
849,East Carolina University ,75700,2.7,211.0,102700.0,93.9,aP,CAROLINA,Doctor
850,East Carolina University ,0,1.7,2.0,,,I,CAROLINA,Doctor
851,East Stroudsburg University of Pennsylvania ,111600,2.0,84.0,135000.0,99.0,P,PENNSYLVANIA,Master
852,East Stroudsburg University of Pennsylvania ,88500,3.3,77.0,107700.0,100.3,AP,PENNSYLVANIA,Master
853,East Stroudsburg University of Pennsylvania ,70700,3.6,41.0,86800.0,94.0,aP,PENNSYLVANIA,Master
854,East Stroudsburg University of Pennsylvania ,50500,2.6,44.0,60600.0,104.4,I,PENNSYLVANIA,Master
855,East Tennessee State University ,86300,3.5,158.0,123700.0,92.1,P,TENNESSEE,Master
856,East Tennessee State University ,72500,4.2,173.0,104800.0,89.1,AP,TENNESSEE,Master
857,East Tennessee State University ,61000,2.6,163.0,85600.0,98.1,aP,TENNESSEE,Master
858,East Tennessee State University ,49200,4.2,36.0,73600.0,117.6,I,TENNESSEE,Master
859,Eastern Connecticut State University ,100800,0.0,96.0,165300.0,98.4,P,CONNECTICUT,Master
860,Eastern Connecticut State University ,81100,1.2,47.0,139500.0,96.0,AP,CONNECTICUT,Master
861,Eastern Connecticut State University ,65300,1.8,56.0,109700.0,95.3,aP,CONNECTICUT,Master
862,Eastern Connecticut State University ,0,,0.0,,,I,CONNECTICUT,Master
863,Eastern Kentucky University ,78200,,139.0,97500.0,95.0,P,KENTUCKY,Master
864,Eastern Kentucky University ,62200,0.2,209.0,75300.0,98.6,AP,KENTUCKY,Master
865,Eastern Kentucky University ,61500,0.5,211.0,72300.0,98.2,aP,KENTUCKY,Master
866,Eastern Kentucky University ,64900,0.2,26.0,75300.0,77.0,I,KENTUCKY,Master
867,Eastern Mennonite University ,65400,1.7,27.0,82400.0,103.6,P,VIRGINIA,Master
868,Eastern Mennonite University ,55000,1.1,22.0,68300.0,99.8,AP,VIRGINIA,Master
869,Eastern Mennonite University ,50300,4.0,40.0,63100.0,99.3,aP,VIRGINIA,Master
870,Eastern Mennonite University ,43600,2.9,14.0,59900.0,101.7,I,VIRGINIA,Master
871,Eastern Michigan University ,97100,2.5,352.0,,95.2,P,MICHIGAN,Master
872,Eastern Michigan University ,81200,2.5,136.0,,98.3,AP,MICHIGAN,Master
873,Eastern Michigan University ,72800,2.7,168.0,,94.5,aP,MICHIGAN,Master
874,Eastern Michigan University ,0,2.5,3.0,,107.8,I,MICHIGAN,Master
875,Eastern University ,75400,-0.7,35.0,100700.0,95.2,P,PENNSYLVANIA,Master
876,Eastern University ,60500,0.9,31.0,87400.0,101.5,AP,PENNSYLVANIA,Master
877,Eastern University ,50300,,16.0,69900.0,97.0,aP,PENNSYLVANIA,Master
878,Eastern University ,0,1.0,2.0,,104.2,I,PENNSYLVANIA,Master
879,Eastern Washington University ,104200,9.5,157.0,113000.0,94.5,P,WASHINGTON,Master
880,Eastern Washington University ,81900,2.4,67.0,86300.0,86.6,AP,WASHINGTON,Master
881,Eastern Washington University ,70700,12.7,102.0,75300.0,91.3,aP,WASHINGTON,Master
882,Eastern Washington University ,0,,0.0,,,I,WASHINGTON,Master
883,Eckerd College ,90800,2.7,43.0,123600.0,94.9,P,FLORIDA,Baccalaureate
884,Eckerd College ,73300,3.9,25.0,100100.0,91.4,AP,FLORIDA,Baccalaureate
885,Eckerd College ,66100,3.2,42.0,87900.0,99.5,aP,FLORIDA,Baccalaureate
886,Eckerd College ,47500,7.6,36.0,70100.0,90.5,I,FLORIDA,Baccalaureate
887,Edinboro University of Pennsylvania ,112200,2.0,82.0,140200.0,99.3,P,PENNSYLVANIA,Master
888,Edinboro University of Pennsylvania ,90000,2.6,63.0,112600.0,94.5,AP,PENNSYLVANIA,Master
889,Edinboro University of Pennsylvania ,72800,2.0,67.0,92800.0,94.8,aP,PENNSYLVANIA,Master
890,Edinboro University of Pennsylvania ,52000,4.6,36.0,66100.0,107.4,I,PENNSYLVANIA,Master
891,Elizabeth City State University ,78700,1.5,30.0,100100.0,86.6,P,CAROLINA,Baccalaureate
892,Elizabeth City State University ,69300,1.4,32.0,89200.0,100.8,AP,CAROLINA,Baccalaureate
893,Elizabeth City State University ,66800,1.5,21.0,85800.0,89.5,aP,CAROLINA,Baccalaureate
894,Elizabeth City State University ,0,10.1,0.0,,,I,CAROLINA,Baccalaureate
895,Elmhurst College ,84500,2.4,53.0,111900.0,92.3,P,ILLINOIS,Baccalaureate
896,Elmhurst College ,69000,0.0,44.0,93900.0,94.6,AP,ILLINOIS,Baccalaureate
897,Elmhurst College ,65000,0.4,40.0,86400.0,102.7,aP,ILLINOIS,Baccalaureate
898,Elmhurst College ,58000,0.0,5.0,71700.0,93.6,I,ILLINOIS,Baccalaureate
899,Elon University ,112300,2.1,77.0,145500.0,92.5,P,CAROLINA,Master
900,Elon University ,82300,2.2,149.0,107400.0,99.2,AP,CAROLINA,Master
901,Elon University ,76500,2.3,143.0,98100.0,95.0,aP,CAROLINA,Master
902,Elon University ,57100,1.0,14.0,81200.0,134.3,I,CAROLINA,Master
903,Embry-Riddle Aeronautical University-Daytona Beach ,113900,2.5,82.0,148000.0,95.4,P,FLORIDA,Master
904,Embry-Riddle Aeronautical University-Daytona Beach ,86000,3.1,95.0,112500.0,103.1,AP,FLORIDA,Master
905,Embry-Riddle Aeronautical University-Daytona Beach ,75400,3.4,103.0,98300.0,95.2,aP,FLORIDA,Master
906,Embry-Riddle Aeronautical University-Daytona Beach ,51900,5.3,36.0,68500.0,87.9,I,FLORIDA,Master
907,Embry-Riddle Aeronautical University-Prescott ,121300,2.4,15.0,164700.0,128.8,P,ARIZONA,Baccalaureate
908,Embry-Riddle Aeronautical University-Prescott ,91200,3.1,35.0,118500.0,96.1,AP,ARIZONA,Baccalaureate
909,Embry-Riddle Aeronautical University-Prescott ,73300,3.4,66.0,95600.0,89.4,aP,ARIZONA,Baccalaureate
910,Embry-Riddle Aeronautical University-Prescott ,0,2.5,3.0,,,I,ARIZONA,Baccalaureate
911,Emerson College ,117600,1.4,40.0,148700.0,100.3,P,MASSACHUSETTS,Master
912,Emerson College ,98000,6.1,55.0,128200.0,95.8,AP,MASSACHUSETTS,Master
913,Emerson College ,73900,3.7,49.0,94000.0,97.0,aP,MASSACHUSETTS,Master
914,Emerson College ,0,,0.0,,,I,MASSACHUSETTS,Master
915,Emmanuel College ,113200,2.6,14.0,151800.0,92.4,P,MASSACHUSETTS,Baccalaureate
916,Emmanuel College ,84200,2.6,26.0,112200.0,101.1,AP,MASSACHUSETTS,Baccalaureate
917,Emmanuel College ,73300,2.8,32.0,94100.0,105.8,aP,MASSACHUSETTS,Baccalaureate
918,Emmanuel College ,0,,0.0,,,I,MASSACHUSETTS,Baccalaureate
919,Emory & Henry College ,72200,3.9,25.0,102000.0,96.3,P,VIRGINIA,Baccalaureate
920,Emory & Henry College ,59300,5.3,24.0,83800.0,84.1,AP,VIRGINIA,Baccalaureate
921,Emory & Henry College ,58500,6.4,31.0,78800.0,107.0,aP,VIRGINIA,Baccalaureate
922,Emory & Henry College ,48700,2.9,15.0,65700.0,100.2,I,VIRGINIA,Baccalaureate
923,Emory University ,177300,4.2,348.0,239100.0,90.1,P,GEORGIA,Doctor
924,Emory University ,122000,4.8,213.0,167400.0,92.6,AP,GEORGIA,Doctor
925,Emory University ,109800,6.4,152.0,148500.0,92.6,aP,GEORGIA,Doctor
926,Emory University ,0,,0.0,,,I,GEORGIA,Doctor
927,Emporia State University ,70900,2.5,73.0,95700.0,93.8,P,KANSAS,Master
928,Emporia State University ,64300,3.7,57.0,85600.0,97.7,AP,KANSAS,Master
929,Emporia State University ,61300,2.7,81.0,79800.0,88.7,aP,KANSAS,Master
930,Emporia State University ,41700,7.5,36.0,56000.0,104.0,I,KANSAS,Master
931,Endicott College ,99100,4.0,33.0,125300.0,100.3,P,MASSACHUSETTS,Baccalaureate
932,Endicott College ,87300,5.0,32.0,110300.0,97.6,AP,MASSACHUSETTS,Baccalaureate
933,Endicott College ,74900,3.6,39.0,94800.0,90.4,aP,MASSACHUSETTS,Baccalaureate
934,Endicott College ,0,,1.0,,,I,MASSACHUSETTS,Baccalaureate
935,Fairfield University ,127400,2.0,75.0,166200.0,94.5,P,CONNECTICUT,Master
936,Fairfield University ,98800,4.4,90.0,136100.0,94.6,AP,CONNECTICUT,Master
937,Fairfield University ,89800,3.1,58.0,119600.0,88.9,aP,CONNECTICUT,Master
938,Fairfield University ,76000,2.7,44.0,101500.0,98.3,I,CONNECTICUT,Master
939,Fairleigh Dickinson University-Metropolitan Campus ,105600,0.8,87.0,154200.0,93.3,P,JERSEY,Master
940,Fairleigh Dickinson University-Metropolitan Campus ,85700,1.5,74.0,128600.0,102.3,AP,JERSEY,Master
941,Fairleigh Dickinson University-Metropolitan Campus ,80400,2.3,79.0,112800.0,100.2,aP,JERSEY,Master
942,Fairleigh Dickinson University-Metropolitan Campus ,0,9.4,1.0,,,I,JERSEY,Master
943,Faith Baptist Bible College and Theological Seminary ,46600,,10.0,63300.0,,P,IOWA,Baccalaureate
944,Faith Baptist Bible College and Theological Seminary ,0,1.0,3.0,,104.7,AP,IOWA,Baccalaureate
945,Faith Baptist Bible College and Theological Seminary ,41800,2.0,6.0,56500.0,101.8,aP,IOWA,Baccalaureate
946,Faith Baptist Bible College and Theological Seminary ,0,,0.0,,,I,IOWA,Baccalaureate
947,Farmingdale State College ,102600,0.1,54.0,144900.0,90.8,P,YORK,Baccalaureate
948,Farmingdale State College ,80400,-0.5,48.0,113000.0,96.0,AP,YORK,Baccalaureate
949,Farmingdale State College ,72500,0.4,128.0,96800.0,99.6,aP,YORK,Baccalaureate
950,Farmingdale State College ,0,,0.0,,,I,YORK,Baccalaureate
951,Fayetteville State University ,91000,3.1,69.0,122800.0,102.5,P,CAROLINA,Master
952,Fayetteville State University ,79100,3.2,79.0,105100.0,99.2,AP,CAROLINA,Master
953,Fayetteville State University ,77400,4.6,65.0,100800.0,96.5,aP,CAROLINA,Master
954,Fayetteville State University ,0,1.3,3.0,,,I,CAROLINA,Master
955,Ferris State University ,112000,3.8,151.0,158300.0,99.9,P,MICHIGAN,Master
956,Ferris State University ,87200,3.4,108.0,129200.0,103.8,AP,MICHIGAN,Master
957,Ferris State University ,76700,3.4,143.0,117400.0,101.0,aP,MICHIGAN,Master
958,Ferris State University ,0,5.5,2.0,,89.6,I,MICHIGAN,Master
959,Finger Lakes Community College ,75200,11.0,38.0,102800.0,92.7,P,YORK,Rank
960,Finger Lakes Community College ,64100,,25.0,90100.0,97.0,AP,YORK,Rank
961,Finger Lakes Community College ,56600,,32.0,76600.0,98.2,aP,YORK,Rank
962,Finger Lakes Community College ,48400,4.8,22.0,66700.0,105.3,I,YORK,Rank
963,Flagler College-St Augustine ,78900,2.0,16.0,,89.9,P,FLORIDA,Baccalaureate
964,Flagler College-St Augustine ,69600,2.0,48.0,71200.0,89.9,AP,FLORIDA,Baccalaureate
965,Flagler College-St Augustine ,61600,2.0,54.0,,100.3,aP,FLORIDA,Baccalaureate
966,Flagler College-St Augustine ,0,,0.0,,,I,FLORIDA,Baccalaureate
967,Florida Agricultural and Mechanical University ,104900,3.9,155.0,153100.0,102.0,P,FLORIDA,Master
968,Florida Agricultural and Mechanical University ,81100,2.5,168.0,117900.0,98.8,AP,FLORIDA,Master
969,Florida Agricultural and Mechanical University ,67900,2.9,146.0,102300.0,100.8,aP,FLORIDA,Master
970,Florida Agricultural and Mechanical University ,60800,4.0,74.0,93100.0,104.1,I,FLORIDA,Master
971,Florida Atlantic University ,111200,2.0,215.0,144800.0,89.4,P,FLORIDA,Doctor
972,Florida Atlantic University ,83800,3.2,202.0,113700.0,95.2,AP,FLORIDA,Doctor
973,Florida Atlantic University ,74200,2.7,159.0,99800.0,81.9,aP,FLORIDA,Doctor
974,Florida Atlantic University ,56600,2.6,134.0,80200.0,89.1,I,FLORIDA,Doctor
975,Florida Gulf Coast University ,107000,0.0,69.0,147600.0,80.6,P,FLORIDA,Master
976,Florida Gulf Coast University ,81900,0.2,127.0,116500.0,99.1,AP,FLORIDA,Master
977,Florida Gulf Coast University ,68600,0.4,148.0,98600.0,107.4,aP,FLORIDA,Master
978,Florida Gulf Coast University ,50500,1.5,119.0,74600.0,102.0,I,FLORIDA,Master
979,Florida International University ,130900,2.8,254.0,167100.0,93.5,P,FLORIDA,Doctor
980,Florida International University ,96900,3.5,290.0,128100.0,97.7,AP,FLORIDA,Doctor
981,Florida International University ,86500,2.6,273.0,117100.0,93.7,aP,FLORIDA,Doctor
982,Florida International University ,65700,4.1,319.0,93400.0,95.6,I,FLORIDA,Doctor
983,Florida Southern College ,94300,2.8,20.0,115300.0,106.9,P,FLORIDA,Baccalaureate
984,Florida Southern College ,73600,1.7,39.0,92900.0,92.5,AP,FLORIDA,Baccalaureate
985,Florida Southern College ,67800,4.5,56.0,86700.0,96.2,aP,FLORIDA,Baccalaureate
986,Florida Southern College ,59100,3.6,22.0,77400.0,98.2,I,FLORIDA,Baccalaureate
987,Florida State University ,135900,3.5,492.0,173700.0,86.3,P,FLORIDA,Doctor
988,Florida State University ,98700,4.1,310.0,128900.0,92.2,AP,FLORIDA,Doctor
989,Florida State University ,88600,3.4,323.0,114500.0,89.6,aP,FLORIDA,Doctor
990,Florida State University ,0,,0.0,,,I,FLORIDA,Doctor
991,Fordham University ,169900,2.8,218.0,225800.0,91.4,P,YORK,Doctor
992,Fordham University ,118300,3.2,215.0,165300.0,101.5,AP,YORK,Doctor
993,Fordham University ,100300,3.7,121.0,137600.0,96.8,aP,YORK,Doctor
994,Fordham University ,101100,3.7,96.0,136500.0,99.6,I,YORK,Doctor
995,Fort Hays State University ,80600,2.8,53.0,107800.0,90.6,P,KANSAS,Master
996,Fort Hays State University ,68800,3.6,81.0,96200.0,97.5,AP,KANSAS,Master
997,Fort Hays State University ,60100,4.1,113.0,79800.0,97.1,aP,KANSAS,Master
998,Fort Hays State University ,50500,3.8,78.0,67900.0,93.1,I,KANSAS,Master
999,Fort Lewis College ,85600,0.0,51.0,111800.0,89.4,P,COLORADO,Baccalaureate
1000,Fort Lewis College ,70100,1.2,45.0,91500.0,103.0,AP,COLORADO,Baccalaureate
1001,Fort Lewis College ,56000,0.5,48.0,73000.0,99.7,aP,COLORADO,Baccalaureate
1002,Fort Lewis College ,45800,0.1,30.0,59800.0,96.7,I,COLORADO,Baccalaureate
1003,Franklin College ,77300,0.5,20.0,99800.0,95.3,P,INDIANA,Baccalaureate
1004,Franklin College ,62100,1.9,16.0,80700.0,101.0,AP,INDIANA,Baccalaureate
1005,Franklin College ,55500,2.4,26.0,71300.0,85.1,aP,INDIANA,Baccalaureate
1006,Franklin College ,42800,2.7,7.0,55300.0,85.1,I,INDIANA,Baccalaureate
1007,Franklin Pierce University ,79200,1.4,22.0,107400.0,95.8,P,HAMPSHIRE,Baccalaureate
1008,Franklin Pierce University ,66800,1.8,31.0,89900.0,109.3,AP,HAMPSHIRE,Baccalaureate
1009,Franklin Pierce University ,66800,1.5,33.0,86100.0,101.1,aP,HAMPSHIRE,Baccalaureate
1010,Franklin Pierce University ,60000,1.5,5.0,94600.0,,I,HAMPSHIRE,Baccalaureate
1011,Franklin and Marshall College ,119900,3.0,74.0,164000.0,100.3,P,PENNSYLVANIA,Baccalaureate
1012,Franklin and Marshall College ,90800,4.6,71.0,126000.0,99.5,AP,PENNSYLVANIA,Baccalaureate
1013,Franklin and Marshall College ,78700,6.3,48.0,106400.0,98.8,aP,PENNSYLVANIA,Baccalaureate
1014,Franklin and Marshall College ,68400,2.7,49.0,92400.0,92.5,I,PENNSYLVANIA,Baccalaureate
1015,Fresno City College ,95100,,361.0,130300.0,96.0,U,CALIFORNIA,NoRank
1016,Fresno Pacific University ,72500,-0.8,17.0,,96.6,P,CALIFORNIA,Master
1017,Fresno Pacific University ,65500,0.6,35.0,,99.1,AP,CALIFORNIA,Master
1018,Fresno Pacific University ,59600,2.9,35.0,,102.9,aP,CALIFORNIA,Master
1019,Fresno Pacific University ,0,0.0,3.0,,94.2,I,CALIFORNIA,Master
1020,Frostburg State University ,91600,-0.3,66.0,126900.0,94.5,P,MARYLAND,Master
1021,Frostburg State University ,73700,0.4,76.0,103400.0,103.1,AP,MARYLAND,Master
1022,Frostburg State University ,68300,5.4,58.0,96200.0,100.1,aP,MARYLAND,Master
1023,Frostburg State University ,61100,4.0,7.0,88100.0,110.7,I,MARYLAND,Master
1024,Fuller Theological Seminary in California ,87700,1.4,36.0,110700.0,108.1,P,CALIFORNIA,Doctor
1025,Fuller Theological Seminary in California ,69300,3.8,25.0,101300.0,104.6,AP,CALIFORNIA,Doctor
1026,Fuller Theological Seminary in California ,62300,4.6,29.0,86600.0,97.0,aP,CALIFORNIA,Doctor
1027,Fuller Theological Seminary in California ,0,4.4,1.0,,,I,CALIFORNIA,Doctor
1028,Furman University ,106900,3.7,115.0,148500.0,100.4,P,CAROLINA,Baccalaureate
1029,Furman University ,79800,4.8,71.0,111300.0,101.6,AP,CAROLINA,Baccalaureate
1030,Furman University ,77200,4.2,48.0,96200.0,91.4,aP,CAROLINA,Baccalaureate
1031,Furman University ,0,,1.0,,,I,CAROLINA,Baccalaureate
1032,Gallaudet University ,129000,3.4,72.0,194800.0,94.2,P,COLUMBIA,Master
1033,Gallaudet University ,99800,7.1,50.0,153100.0,107.4,AP,COLUMBIA,Master
1034,Gallaudet University ,78600,3.2,33.0,113700.0,98.0,aP,COLUMBIA,Master
1035,Gallaudet University ,71800,7.9,11.0,100800.0,95.5,I,COLUMBIA,Master
1036,Gardner-Webb University ,69400,0.1,60.0,94900.0,91.6,P,CAROLINA,Master
1037,Gardner-Webb University ,62000,1.1,34.0,85200.0,93.1,AP,CAROLINA,Master
1038,Gardner-Webb University ,59000,5.9,47.0,90600.0,107.3,aP,CAROLINA,Master
1039,Gardner-Webb University ,49000,0.9,22.0,67000.0,113.6,I,CAROLINA,Master
1040,Geneva College ,56800,,30.0,78000.0,100.3,P,PENNSYLVANIA,Baccalaureate
1041,Geneva College ,61500,2.0,29.0,82000.0,106.1,AP,PENNSYLVANIA,Baccalaureate
1042,Geneva College ,61200,,8.0,79900.0,99.9,aP,PENNSYLVANIA,Baccalaureate
1043,Geneva College ,0,,1.0,,,I,PENNSYLVANIA,Baccalaureate
1044,George Mason University ,140300,5.0,363.0,186200.0,78.9,P,VIRGINIA,Doctor
1045,George Mason University ,94100,6.5,445.0,129900.0,91.4,AP,VIRGINIA,Doctor
1046,George Mason University ,80300,6.3,402.0,109600.0,84.1,aP,VIRGINIA,Doctor
1047,George Mason University ,61500,5.7,96.0,91700.0,93.5,I,VIRGINIA,Doctor
1048,George Washington University ,179400,2.0,364.0,224900.0,96.5,P,COLUMBIA,Doctor
1049,George Washington University ,117000,3.5,355.0,152600.0,97.0,AP,COLUMBIA,Doctor
1050,George Washington University ,96200,4.0,254.0,126300.0,91.0,aP,COLUMBIA,Doctor
1051,George Washington University ,85900,3.4,125.0,114900.0,78.5,I,COLUMBIA,Doctor
1052,Georgetown College ,63600,0.1,30.0,72300.0,102.7,P,KENTUCKY,Baccalaureate
1053,Georgetown College ,53600,0.1,39.0,62500.0,102.4,AP,KENTUCKY,Baccalaureate
1054,Georgetown College ,45600,5.9,4.0,49800.0,102.0,aP,KENTUCKY,Baccalaureate
1055,Georgetown College ,40700,0.0,7.0,48800.0,83.5,I,KENTUCKY,Baccalaureate
1056,Georgetown University ,203400,4.4,335.0,247000.0,91.0,P,COLUMBIA,Doctor
1057,Georgetown University ,130000,3.6,239.0,162100.0,93.9,AP,COLUMBIA,Doctor
1058,Georgetown University ,115600,3.4,101.0,144500.0,95.2,aP,COLUMBIA,Doctor
1059,Georgetown University ,0,,0.0,,,I,COLUMBIA,Doctor
1060,Georgia College and State University ,90100,2.8,100.0,121000.0,100.2,P,GEORGIA,Master
1061,Georgia College and State University ,71400,5.4,72.0,94500.0,99.1,AP,GEORGIA,Master
1062,Georgia College and State University ,62800,3.8,81.0,84800.0,102.6,aP,GEORGIA,Master
1063,Georgia College and State University ,0,6.4,2.0,,,I,GEORGIA,Master
1064,Georgia Highlands College ,59700,4.1,25.0,75600.0,102.1,P,GEORGIA,Rank
1065,Georgia Highlands College ,49500,4.4,36.0,66500.0,101.0,AP,GEORGIA,Rank
1066,Georgia Highlands College ,46100,3.9,39.0,62300.0,107.7,aP,GEORGIA,Rank
1067,Georgia Highlands College ,43100,3.7,29.0,58000.0,105.5,I,GEORGIA,Rank
1068,Georgia Institute of Technology-Main Campus ,168400,2.6,520.0,223800.0,92.1,P,GEORGIA,Doctor
1069,Georgia Institute of Technology-Main Campus ,113100,3.9,295.0,144800.0,94.8,AP,GEORGIA,Doctor
1070,Georgia Institute of Technology-Main Campus ,103000,2.8,199.0,132400.0,97.8,aP,GEORGIA,Doctor
1071,Georgia Institute of Technology-Main Campus ,55900,8.4,10.0,103800.0,85.6,I,GEORGIA,Doctor
1072,Georgia Southern University ,82900,2.2,141.0,106700.0,92.4,P,GEORGIA,Master
1073,Georgia Southern University ,75500,2.3,200.0,97200.0,92.9,AP,GEORGIA,Master
1074,Georgia Southern University ,74500,2.7,241.0,96000.0,92.1,aP,GEORGIA,Master
1075,Georgia Southern University ,54100,2.1,35.0,73300.0,97.6,I,GEORGIA,Master
1076,Georgian Court University ,89200,2.0,27.0,111300.0,95.5,P,JERSEY,Master
1077,Georgian Court University ,70300,2.3,24.0,90100.0,107.9,AP,JERSEY,Master
1078,Georgian Court University ,65300,2.2,35.0,84900.0,100.1,aP,JERSEY,Master
1079,Georgian Court University ,0,,1.0,,,I,JERSEY,Master
1080,Gettysburg College ,110200,1.9,58.0,149700.0,96.3,P,PENNSYLVANIA,Baccalaureate
1081,Gettysburg College ,87700,2.5,87.0,119500.0,96.7,AP,PENNSYLVANIA,Baccalaureate
1082,Gettysburg College ,74600,3.8,49.0,101900.0,99.8,aP,PENNSYLVANIA,Baccalaureate
1083,Gettysburg College ,0,,0.0,,,I,PENNSYLVANIA,Baccalaureate
1084,Golden Gate University-San Francisco ,105900,,31.0,,86.7,P,CALIFORNIA,Master
1085,Golden Gate University-San Francisco ,99000,,16.0,,123.1,AP,CALIFORNIA,Master
1086,Golden Gate University-San Francisco ,86400,,7.0,,102.2,aP,CALIFORNIA,Master
1087,Golden Gate University-San Francisco ,64800,12.1,5.0,,93.3,I,CALIFORNIA,Master
1088,Gordon College ,84000,0.0,43.0,114300.0,99.7,P,MASSACHUSETTS,Baccalaureate
1089,Gordon College ,68600,0.1,24.0,91300.0,101.7,AP,MASSACHUSETTS,Baccalaureate
1090,Gordon College ,56300,0.0,19.0,74100.0,94.7,aP,MASSACHUSETTS,Baccalaureate
1091,Gordon College ,0,0.0,2.0,,,I,MASSACHUSETTS,Baccalaureate
1092,Goshen College ,67200,1.6,32.0,99200.0,101.8,P,INDIANA,Baccalaureate
1093,Goshen College ,54100,1.7,23.0,72100.0,97.0,AP,INDIANA,Baccalaureate
1094,Goshen College ,44900,1.4,9.0,59300.0,97.9,aP,INDIANA,Baccalaureate
1095,Goshen College ,0,,0.0,,,I,INDIANA,Baccalaureate
1096,Goucher College ,91000,0.0,26.0,114800.0,91.6,P,MARYLAND,Baccalaureate
1097,Goucher College ,76500,1.3,43.0,96100.0,94.8,AP,MARYLAND,Baccalaureate
1098,Goucher College ,62500,1.2,50.0,78300.0,92.7,aP,MARYLAND,Baccalaureate
1099,Goucher College ,52300,0.0,11.0,66500.0,92.4,I,MARYLAND,Baccalaureate
1100,Governors State University ,102600,,30.0,,106.3,P,ILLINOIS,Master
1101,Governors State University ,85600,,61.0,,97.4,AP,ILLINOIS,Master
1102,Governors State University ,74000,,55.0,,89.7,aP,ILLINOIS,Master
1103,Governors State University ,0,,0.0,,,I,ILLINOIS,Master
1104,Graceland University-Lamoni ,74400,7.9,24.0,,110.3,P,IOWA,Baccalaureate
1105,Graceland University-Lamoni ,59500,4.9,17.0,,112.5,AP,IOWA,Baccalaureate
1106,Graceland University-Lamoni ,49000,7.8,26.0,,106.7,aP,IOWA,Baccalaureate
1107,Graceland University-Lamoni ,39400,2.0,5.0,,98.4,I,IOWA,Baccalaureate
1108,Grand Canyon University ,79200,2.9,7.0,,104.3,P,ARIZONA,Baccalaureate
1109,Grand Canyon University ,81400,3.0,22.0,,110.2,AP,ARIZONA,Baccalaureate
1110,Grand Canyon University ,71500,3.5,71.0,,97.0,aP,ARIZONA,Baccalaureate
1111,Grand Canyon University ,67800,4.8,106.0,,108.2,I,ARIZONA,Baccalaureate
