,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position,State,Category
1864,Morehead State University ,42400,2.2,75.0,61000.0,103.5,I,KENTUCKY,Master
1865,Morehouse College ,122700,2.0,21.0,,,P,GEORGIA,Baccalaureate
1866,Morehouse College ,111000,,40.0,,,AP,GEORGIA,Baccalaureate
1867,Morehouse College ,98500,,25.0,,,aP,GEORGIA,Baccalaureate
1868,Morehouse College ,75400,,7.0,,,I,GEORGIA,Baccalaureate
1869,Morgan Community College ,59300,,31.0,,93.7,U,COLORADO,NoRank
1870,Morningside College ,75600,0.0,15.0,100300.0,97.7,P,IOWA,Baccalaureate
1871,Morningside College ,60500,0.2,21.0,82000.0,102.0,AP,IOWA,Baccalaureate
1872,Morningside College ,53900,0.4,18.0,72300.0,97.6,aP,IOWA,Baccalaureate
1873,Morningside College ,58200,0.5,18.0,73200.0,85.7,I,IOWA,Baccalaureate
1874,Morrisville State College ,73900,0.0,21.0,101600.0,112.5,P,YORK,Rank
1875,Morrisville State College ,61500,0.0,55.0,86200.0,99.5,AP,YORK,Rank
1876,Morrisville State College ,54300,0.1,59.0,76000.0,97.9,aP,YORK,Rank
1877,Morrisville State College ,38100,0.0,4.0,61100.0,125.9,I,YORK,Rank
1878,Mount Holyoke College ,125300,2.0,75.0,160100.0,93.2,P,MASSACHUSETTS,Baccalaureate
1879,Mount Holyoke College ,97100,2.8,31.0,124300.0,99.9,AP,MASSACHUSETTS,Baccalaureate
1880,Mount Holyoke College ,79000,3.0,43.0,97400.0,101.5,aP,MASSACHUSETTS,Baccalaureate
1881,Mount Holyoke College ,60800,4.2,47.0,74300.0,93.7,I,MASSACHUSETTS,Baccalaureate
1882,Mount Ida College ,90900,13.1,12.0,,80.9,P,MASSACHUSETTS,Baccalaureate
1883,Mount Ida College ,74900,8.7,17.0,,99.2,AP,MASSACHUSETTS,Baccalaureate
1884,Mount Ida College ,61500,7.5,29.0,,104.2,aP,MASSACHUSETTS,Baccalaureate
1885,Mount Ida College ,0,5.2,1.0,,,I,MASSACHUSETTS,Baccalaureate
1886,Mount Marty College ,70200,2.7,8.0,82200.0,75.4,P,DAKOTA,Baccalaureate
1887,Mount Marty College ,50600,2.4,11.0,61100.0,97.5,AP,DAKOTA,Baccalaureate
